Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
52756,Europe,"December 31, 2019",2019,Dec,1,,1,,,,,Drowning,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,"44.210945440680, 19.023558588857",Western Balkans,,Southern Europe,5
52825,US-Mexico Border,"December 31, 2019",2019,Dec,2,,2,,,,,Unknown,"Unspecified location in Brewster County, Texas, USA",Brewster Sheriff's Office,"29.662993800000, -103.358728800000",Central America to US,,Northern America,5
54588,US-Mexico Border,"December 31, 2019",2019,Dec,10,,10,,,,,Mixed,"Yuma County, Arizona, USA",Yuma County Office of the Medical Examiner,"32.692651200000, -114.627691600000",Central America to US,,Northern America,5
52824,US-Mexico Border,"December 31, 2019",2019,Dec,1,,1,,,1,,Unknown,"Unspecified location in Jeff Davis County, Texas, USA",Jeff Davis County Sheriff's Office,"30.578414944603, -104.382605960160",Central America to US,,Northern America,5
53650,North Africa,"December 31, 2019",2019,Dec,1,,1,,1,,,Vehicle Accident,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.649993000000, 14.543594000000",,,Northern Africa,2
52758,Europe,"December 31, 2019",2019,Dec,2,,2,,,,,Fell,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,"44.162208777872, 19.204954533721",Western Balkans,,Southern Europe,5
52757,Europe,"December 31, 2019",2019,Dec,3,,3,,,,,Vehicle  accident,"Unspecified location, Bosnia and Herzegovina",Ministry of Internal Affairs of the Una-Sana Canton ,"44.163960197629, 19.199461369658",Western Balkans,,Uncategorized,5
52784,Central America,"December 30, 2019",2019,Dec,1,,1,,,1,,Violence,"Train tracks near Atotonilco de Tula, Hidalgo, Mexico",Periódico AM,"20.009883384223, -99.215657551787",,http://bit.ly/2QU1WM1,Central America,1
52759,Mediterranean,"December 30, 2019",2019,Dec,1,,1,,,,,Presumed drowning,Unspecified location off the coast of Libya,IOM Libya,"32.845847906405, 12.564471287134",Central Mediterranean,,Uncategorized,4
52745,US-Mexico Border,"December 30, 2019",2019,Dec,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.079925400000, -111.977598000000",Central America to US,http://www.humaneborders.info/,Northern America,5
52673,Mediterranean,"December 30, 2019",2019,Dec,1,,1,11,,,,Hypothermia,Unspecififed location off the coast of Algeria,El Watan,"35.568972356329, -1.289773129748",Western Mediterranean,https://bit.ly/2FqQHo4,Uncategorized,1
52822,Mediterranean,"December 30, 2019",2019,Dec,,45,45,,,,,Presumed drowning,Unspecified location off the coast of Libya,Alarm Phone,"33.236144031382, 12.590751031285",Central Mediterranean,"http://bit.ly/38S8pgN, https://bit.ly/2ZP70UN, http://bit.ly/2R8zvZK",Uncategorized,4
52666,Mediterranean,"December 30, 2019",2019,Dec,1,,1,,,1,,Presumed drowning,"Recoverd on Calamorcarro Beach, Ceuta","El Foro de Ceuta, El Pueblo de Ceuta","35.912383552874, -5.357673338898",Western Mediterranean,"https://bit.ly/39yKRyF, http://bit.ly/2TmrKlB",Uncategorized,2
52858,Europe,"December 28, 2019",2019,Dec,5,,5,,,,,Drowning,"Unspecified location in the Evros/Meriç river, Evros region, Greece",Forensic Laboratory of Alexandroupolis Hospital via efsyn,"40.910459471231, 26.256949499334",,http://bit.ly/31trGCU,Southern Europe,1
52885,North Africa,"December 28, 2019",2019,Dec,,40,40,,,,,Presumed drowning,"Unspecified location between Morocco and Canary Islands, Spain","Alarm Phone, Caminando Fronteras","25.890635194471, -16.333864782109",Western Africa / Atlantic route to the Canary Islands,"https://bit.ly/2SOwdxf, http://archive.ph/3dgWP",Uncategorized,4
52663,East Asia,"December 27, 2019",2019,Dec,5,,5,,,3,,Unknown,"Bodies found on boat near Sado Island, Niigata, Japan","Japan Times, Kyodo News, AFP","38.154018233313, 138.086032653130",,"http://bit.ly/2sCnBz1, http://bit.ly/2sEra83, http://bit.ly/2MJk88F",Eastern Asia,3
52783,Central America,"December 27, 2019",2019,Dec,1,,1,,,1,,Violence,"Santa Bárbara, Honduras (died after injuries sustained on October 28 when he was attacked in a migrant caravan)","El Heraldo, La Prensa","14.921917700000, -88.237599100000",,"https://bit.ly/2txBrmH, https://bit.ly/39NUU2P, http://www.abriendobrecha.tv/muere-hondureno-que-fue-golpeado-mientras-viajaba-en-caravana-migrante-hacia-eeuu/",Central America,3
53649,North Africa,"December 27, 2019",2019,Dec,1,,1,,1,,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.649993000000, 14.543594000000",,,Northern Africa,2
52662,Middle East,"December 26, 2019",2019,Dec,7,,7,64,,,,Drowning,"Van lake near Adilcevaz, Bitlis, Turkey","EFE, BBC, ARYnews","38.777228612085, 42.739257582031",,"http://bit.ly/2ZG2Y19, http://bit.ly/2MLamDf, https://bbc.in/37tkBE9",Western Asia,3
53648,North Africa,"December 25, 2019",2019,Dec,1,,1,,1,,,Excessive Physical Abuse,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
53647,North Africa,"December 25, 2019",2019,Dec,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"38.120720000000, 13.307010000000",,,Northern Africa,2
53646,North Africa,"December 25, 2019",2019,Dec,1,,1,,1,,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
52826,US-Mexico Border,"December 25, 2019",2019,Dec,1,,1,,,1,,Sickness,"Laredo Medical Center in Laredo, Webb County, Texas, USA",US Border Patrol,"27.530891056883, -99.481759778113",Central America to US,http://bit.ly/2G89GEk,Northern America,5
